Serial,Event,&quot;Parish&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
2005,LEAK,Hanover,25/11/1991,0,0,0
2004,LEAK,Kingston,07/08/1991,0,0,0
2003,LEAK,Clarendon,17/02/1991,0,0,0
2002,LEAK,St. Catherine,17/02/1991,0,0,0
2001,LEAK,Kingston,11/03/1990,0,0,0
4138,FLOOD,St. Andrew,1998/11/0,0,0,0
4137,FLOOD,Kingston,1998/11/0,0,0,0
4136,FLOOD,Clarendon,1998/11/0,0,0,0
4135,FLOOD,Manchester,1998/11/0,0,0,0
4134,FLOOD,St. Thomas,1998/11/0,0,0,0
4133,FLOOD,St. Catherine,1998/11/0,0,0,0
4132,FLOOD,St. Elizabeth,1998/11/0,0,0,0
4131,FLOOD,St. James,1998/11/0,0,0,0
4130,LANDSLIDE,St. Andrew,1998/10/0,0,0,0
4129,LANDSLIDE,St. Catherine,1998/10/0,0,0,0
4002,LANDSLIDE,Clarendon,1998/10/0,0,0,0
4001,HURRICANE,St. Andrew,24/10/1998,0,0,0
4128,FLOOD,Portland,10/05/2001,0,0,0
4127,FLOOD,St. Mary,10/05/2001,600,0,0
4126,FLOOD,St. Thomas,18/05/2001,0,0,0
4125,LANDSLIDE,St. Catherine,2001/1/0,0,0,0
4124,FLOOD,St. Catherine,2001/1/0,0,0,0
4123,FLOOD,St. James,2001/1/0,5000,0,100000000
4122,LANDSLIDE,St. Mary,2001/1/0,0,0,0
4121,LANDSLIDE,Portland,2001/1/0,0,0,0
4120,FLOOD,St. Ann,2001/1/0,0,0,0
4119,FLOOD,Portland,2001/1/0,0,0,0
4118,FLOOD,Trelawny,2001/1/0,0,0,0
4117,FLOOD,Portland,17/12/2001,0,0,0
4116,HURRICANE,St. Elizabeth,2001/10/0,0,0,0
4115,FLOOD,Manchester,2001/10/0,0,0,0
4111,HURRICANE,Kingston,08/10/2001,0,0,0
4114,HURRICANE,St. Catherine,08/10/2001,0,0,0
4113,HURRICANE,Manchester,08/10/2001,0,0,0
4112,HURRICANE,Portland,08/10/2001,0,0,0
4110,LANDSLIDE,St. Ann,2001/10/0,0,0,0
4109,LANDSLIDE,Portland,2001/10/0,0,0,0
4108,FLOOD,St. Mary,2001/10/0,0,0,0
4107,FLOOD,St. Catherine,2001/10/0,40,0,0
4106,FLOOD,Portland,2001/10/0,0,0,0
4105,FLOOD,St. Mary,31/10/2001,0,0,0
4104,FLOOD,St. Elizabeth,2001/11/0,0,0,0
4103,FLOOD,St. Elizabeth,2001/11/0,0,0,0
4102,FLOOD,St. Andrew,2001/11/0,0,0,0
4101,FLOOD,St. Mary,2001/11/0,0,0,17200000
4100,FLOOD,Portland,2001/11/0,200,0,0
4099,STRONGWIND,St. James,29/07/2000,11,0,0
4098,STRONGWIND,Portland,15/01/2000,0,0,0
4097,STRONGWIND,Portland,12/01/2000,0,0,0
4096,STRONGWIND,Portland,15/01/2000,0,0,0
4095,STRONGWIND,Portland,15/01/2000,0,0,0
4094,STRONGWIND,Portland,15/01/2000,0,0,0
4093,STRONGWIND,Portland,15/01/2000,0,0,0
4092,STRONGWIND,St. Catherine,08/08/1998,0,0,0
4091,STRONGWIND,St. Elizabeth,27/02/1997,12,0,0
4090,STRONGWIND,Clarendon,05/05/1996,0,0,2010162
4089,FLOOD,St. Mary,28/01/2000,0,0,0
4088,FLOOD,St. Ann,28/01/2000,0,0,0
4087,FLOOD,St. Ann,31/12/1999,15,0,0
4086,FLOOD,Portland,25/10/1999,11,0,0
4085,FLOOD,Kingston,21/10/1999,0,0,0
4084,FLOOD,Clarendon,21/09/1999,3,0,0
4083,FLOOD,Clarendon,15/09/1999,2,0,0
4082,FLOOD,St. Andrew,09/09/1999,0,0,1000000
4081,FLOOD,St. James,25/06/1999,0,0,0
4080,FLOOD,St. Elizabeth,11/06/1999,0,0,0
4079,FLOOD,Trelawny,10/05/1999,0,0,0
4078,FLOOD,St. Mary,1998/3/0,0,0,15000000
4077,FLOOD,St. Catherine,1999/3/0,0,0,0
4076,FLOOD,St. Ann,18/12/1998,0,0,0
4075,FLOOD,St. Catherine,1998/12/0,0,0,0
4074,FLOOD,St. Andrew,1998/12/0,0,0,0
4073,FLOOD,St. Thomas,1998/12/0,0,0,0
4072,FLOOD,Portland,1998/12/0,0,0,0
4071,FLOOD,St. Ann,1998/12/0,0,0,0
4070,LANDSLIDE,St. Andrew,04/11/1998,0,0,0
4069,FLOOD,St. Andrew,04/11/1998,0,0,0
4068,FLOOD,St. Mary,1998/11/0,0,0,20000
4067,FLOOD,St. Ann,1998/11/0,0,0,32000
4066,FLOOD,St. Elizabeth,1998/11/0,0,0,805000
4065,FLOOD,Trelawny,1998/11/0,0,0,602000
4064,FLOOD,St. Thomas,1998/11/0,0,0,730000
4063,FLOOD,Manchester,1998/11/0,0,0,960000
4062,FLOOD,Hanover,1998/11/0,0,0,1900000
4061,FLOOD,St. James,1998/11/0,0,0,1700000
4060,FLOOD,Westmoreland,1998/11/0,0,0,2700000
4059,FLOOD,Clarendon,1998/11/0,0,0,3000000
4058,FLOOD,Kingston,1998/11/0,0,0,5000000
4057,FLOOD,Trelawny,1998/11/0,0,0,10000000
4056,FLOOD,St. James,28/10/1998,0,0,0
4055,FLOOD,St. Thomas,28/10/1998,0,0,0
4054,FLOOD,Kingston,28/10/1998,0,0,0
4053,FLOOD,Kingston,24/10/1998,0,0,0
4052,FLOOD,St. Andrew,24/10/1998,0,0,0
4051,FLOOD,Clarendon,24/10/1998,0,0,0
4050,FLOOD,Manchester,24/10/1998,0,0,0
4049,FLOOD,St. Thomas,24/10/1998,0,0,0
4048,FLOOD,St. Catherine,24/10/1998,0,0,0
4047,FLOOD,St. Elizabeth,24/10/1998,0,0,0
4046,FLOOD,St. James,24/10/1998,0,0,0
4045,FLOOD,Manchester,1998/9/0,0,0,0
4044,FLOOD,Portland,1998/9/0,0,0,0
4043,FLOOD,St. Andrew,1998/9/0,0,0,13500000
4042,FLOOD,St. Andrew,1998/9/0,0,0,0
4041,FLOOD,St. Catherine,1998/5/0,0,0,0
4040,FLOOD,Portland,03/01/1998,0,0,0
4039,FLOOD,Portland,1998/1/0,0,0,0
4038,FLOOD,Clarendon,15/11/1997,60,0,0
4037,FLOOD,Clarendon,23/10/1997,0,0,0
4036,FLOOD,Clarendon,18/10/1997,0,0,0
4035,FLOOD,Clarendon,07/09/1997,0,0,0
4034,FLOOD,Clarendon,25/08/1997,0,0,0
4033,FLOOD,Trelawny,06/02/1996,0,0,39300000
4032,FLOOD,St. James,06/02/1996,0,0,26950000
4031,FLOOD,St. Ann,06/02/1996,0,0,15652000
4030,FLOOD,St. Mary,06/02/1996,0,0,0
4029,FLOOD,Portland,06/02/1996,0,0,19460000
4028,FLOOD,Portland,10/01/1996,0,0,18536000
4027,LANDSLIDE,Portland,1999/12/0,0,0,0
4026,LANDSLIDE,Hanover,1999/9/0,0,0,0
4025,LANDSLIDE,St. Andrew,1999/9/0,0,0,0
4024,LANDSLIDE,St. Mary,1999/3/0,0,0,0
4023,LANDSLIDE,Portland,1998/12/0,0,0,0
4022,LANDSLIDE,St. Andrew,1998/12/0,2000,0,5000000
4021,LANDSLIDE,St. Thomas,1998/12/0,0,0,0
4020,LANDSLIDE,St. Ann,1998/12/0,0,0,0
4019,LANDSLIDE,St. Mary,1998/12/0,0,0,0
4018,LANDSLIDE,St. Andrew,1998/12/0,0,0,0
4017,LANDSLIDE,Portland,1998/12/0,0,0,0
4016,LANDSLIDE,St. Catherine,1998/10/0,0,0,0
4015,LANDSLIDE,St. Andrew,1998/10/0,0,0,0
4014,LANDSLIDE,Clarendon,1998/10/0,0,0,0
4013,LANDSLIDE,Portland,1998/9/0,0,0,0
4012,LANDSLIDE,St. Andrew,1998/9/0,0,0,0
4011,LANDSLIDE,St. Thomas,04/06/1997,0,0,0
4010,LANDSLIDE,Clarendon,04/06/1997,0,0,0
4009,LANDSLIDE,Westmoreland,04/06/1997,0,0,0
4008,LANDSLIDE,St. Andrew,04/06/1997,0,0,0
4007,LANDSLIDE,Kingston,04/06/1997,0,0,0
4006,LANDSLIDE,St. Catherine,04/06/1997,0,0,0
4005,LANDSLIDE,St. Thomas,04/06/1997,0,0,0
4004,LANDSLIDE,Portland,04/06/1997,0,0,0
4003,LANDSLIDE,Portland,01/01/1996,0,0,0
8048,FLOOD,Portland,01/06/1977,0,0,0
8047,FLOOD,St. Ann,01/06/1977,0,0,0
8046,FLOOD,St. Andrew,01/06/1977,0,0,0
8045,FLOOD,St. Elizabeth,01/06/1977,0,0,0
8044,FLOOD,Westmoreland,01/06/1977,0,0,0
8043,FLOOD,St. James,01/06/1977,0,0,0
8042,FLOOD,Hanover,01/06/1977,0,0,0
8041,FLOOD,Trelawny,01/06/1977,0,0,0
8040,FLOOD,St. Catherine,01/06/1977,0,0,0
8039,FLOOD,Manchester,01/06/1977,0,0,0
8038,FLOOD,Clarendon,01/06/1977,0,0,0
8037,DROUGHT,Clarendon,01/03/1977,0,0,0
8036,DROUGHT,Clarendon,01/03/1977,0,0,0
8035,DROUGHT,St. Thomas,01/03/1977,0,0,0
8034,LANDSLIDE,Westmoreland,19/09/1975,0,0,0
8033,LANDSLIDE,Hanover,19/09/1975,0,0,0
8032,FLOOD,Hanover,19/09/1975,0,0,0
8031,ELECTRICSTORM,St. Mary,25/08/1975,0,0,0
8030,DROUGHT,St. Andrew,01/08/1975,0,0,0
8029,DROUGHT,Kingston,01/08/1975,0,0,0
8028,DROUGHT,St. Elizabeth,01/08/1975,0,0,0
8027,DROUGHT,Clarendon,01/08/1975,0,0,0
8026,DROUGHT,St. James,01/08/1975,0,0,0
8025,STRONGWIND,St. Mary,18/09/1975,0,0,0
8024,STRONGWIND,Hanover,18/09/1975,0,0,0
8023,STRONGWIND,St. James,18/09/1975,0,0,0
8022,STRONGWIND,St. Ann,18/09/1975,0,0,0
8021,FIRE,Kingston,23/05/1975,0,0,0
8020,FIRE,Kingston,03/01/1975,0,0,0
8019,FLOOD,St. Mary,04/12/1974,0,0,0
8018,FLOOD,Hanover,04/12/1974,0,0,0
8017,FLOOD,Trelawny,04/12/1974,0,0,0
8016,FLOOD,St. James,04/12/1974,0,0,0
8015,FLOOD,St. Ann,04/12/1974,0,0,0
8014,FLOOD,St. Elizabeth,18/10/1973,0,0,0
8013,FLOOD,Kingston,18/10/1973,0,0,0
8012,FLOOD,Manchester,18/10/1973,0,0,0
8011,FLOOD,Clarendon,18/10/1973,0,0,0
8010,ALLUVION,St. Catherine,18/10/1973,0,0,0
8009,FLOOD,St. Ann,18/10/1973,0,0,0
8008,FLOOD,Portland,18/10/1973,0,0,0
8007,FLOOD,Westmoreland,18/10/1973,0,0,0
8006,LANDSLIDE,St. James,18/10/1973,0,0,0
8005,FLOOD,St. James,18/10/1973,0,0,0
8004,LANDSLIDE,Trelawny,18/10/1973,0,0,0
8003,FLOOD,Trelawny,18/10/1973,0,0,0
8002,FIRE,Kingston,15/10/1973,0,0,0
8001,FIRE,St. James,12/10/1973,0,0,0
