Serial,Event,&quot;Parish&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
91,EPIDEMIC,St. Mary,1986/0/0,0,0,0
90,EPIDEMIC,Portland,1986/0/0,0,0,0
89,EPIDEMIC,St. Thomas,1986/0/0,0,0,0
88,EPIDEMIC,St. Andrew,1986/0/0,0,0,0
87,EPIDEMIC,Kingston,1986/0/0,0,0,0
86,EPIDEMIC,St. Catherine,1985/0/0,0,0,0
85,EPIDEMIC,Clarendon,1985/0/0,0,0,0
84,EPIDEMIC,Manchester,1985/0/0,0,0,0
83,EPIDEMIC,St. Elizabeth,1985/0/0,0,0,0
82,EPIDEMIC,Westmoreland,1985/0/0,0,0,0
81,EPIDEMIC,Hanover,1985/0/0,0,0,0
80,EPIDEMIC,St. James,1985/0/0,0,0,0
79,EPIDEMIC,Trelawny,1985/0/0,0,0,0
78,EPIDEMIC,St. Ann,1985/0/0,0,0,0
77,EPIDEMIC,St. Mary,1985/0/0,0,0,0
76,EPIDEMIC,St. Thomas,1985/0/0,0,0,0
75,EPIDEMIC,St. Andrew,1985/0/0,0,0,0
74,EPIDEMIC,Kingston,1985/0/0,0,0,0
73,EPIDEMIC,St. Catherine,1984/0/0,0,0,0
72,EPIDEMIC,Clarendon,1984/0/0,0,0,0
71,EPIDEMIC,Manchester,1984/0/0,0,0,0
70,EPIDEMIC,St. Elizabeth,1984/0/0,0,0,0
69,EPIDEMIC,Westmoreland,1984/0/0,0,0,0
68,EPIDEMIC,St. James,1984/0/0,0,0,0
67,EPIDEMIC,St. Ann,1984/0/0,0,0,0
66,EPIDEMIC,St. Mary,1984/0/0,0,0,0
65,EPIDEMIC,St. Andrew,1984/0/0,0,0,0
64,EPIDEMIC,Kingston,1984/0/0,0,0,0
63,STRONGWIND,Clarendon,16/05/1987,0,0,0
62,STRONGWIND,Clarendon,21/09/1986,0,0,0
61,STRONGWIND,Westmoreland,13/09/1986,0,0,0
60,STRONGWIND,St. Elizabeth,20/08/1986,2,0,0
59,STRONGWIND,Clarendon,16/05/1986,0,0,0
58,STRONGWIND,St. Catherine,04/04/1986,0,0,0
57,DROUGHT,Westmoreland,1988/3/0,0,0,0
56,DROUGHT,Manchester,1988/0/0,0,0,0
55,DROUGHT,St. Thomas,1988/0/0,0,0,0
54,DROUGHT,Clarendon,1988/0/0,0,0,0
53,DROUGHT,St. Elizabeth,1988/0/0,0,0,0
52,RAIN,St. Andrew,30/10/1987,0,0,0
51,RAIN,Kingston,30/10/1987,0,0,0
50,RAIN,St. Thomas,30/10/1987,0,0,0
49,RAIN,St. Catherine,30/10/1987,0,0,0
48,RAIN,Clarendon,30/10/1987,0,0,0
47,RAIN,Clarendon,11/06/1986,0,0,0
46,RAIN,St. Ann,11/06/1986,0,0,0
45,RAIN,St. Andrew,11/06/1986,0,0,0
44,RAIN,St. Thomas,11/06/1986,0,0,0
43,RAIN,St. Elizabeth,11/06/1986,0,0,0
42,RAIN,St. Catherine,11/06/1986,0,0,0
