Country,Year,Type of event,Total affected,Total Damage
El Salvador,2012,Earthquake,400,25000
El Salvador,2012,Flood,2385,2000
El Salvador,2012,Storm,2193,50000
El Salvador,2013,Flood,635,4000
El Salvador,2013,Storm,8,0
El Salvador,2014,Flood,637,0
El Salvador,2014,Storm,175,0
El Salvador,2015,Drought,17000,0
Ethiopia,2002,Drought,8735065,0
Ethiopia,2002,Flood,17825,0
Ethiopia,2002,Storm,2699,0
Ethiopia,2003,Drought,13463121,0
Ethiopia,2003,Flood,512163,0
Ethiopia,2003,Storm,3500,0
Ethiopia,2004,Drought,2588628,0
Ethiopia,2004,Flood,43747,0
Ethiopia,2005,Drought,3613017,0
Ethiopia,2005,Earthquake,6384,0
Ethiopia,2005,Flood,1038348,0
Ethiopia,2006,Drought,7636343,0
Ethiopia,2006,Earthquake,11000,0
Ethiopia,2006,Flood,1755057,0
Ethiopia,2006,Storm,75,0
Ethiopia,2007,Drought,1510949,0
Ethiopia,2007,Earthquake,2160,0
Ethiopia,2007,Flood,1047215,0
Ethiopia,2007,Storm,3770,0
Ethiopia,2008,Drought,1194781,0
Ethiopia,2008,Flood,39178,0
Ethiopia,2008,Storm,14978,0
Ethiopia,2009,Drought,192487,0
Ethiopia,2009,Flood,7692,0
Ethiopia,2009,Storm,50650,0
Ethiopia,2010,Flood,1002727,0
Ethiopia,2012,Drought,762,0
Ethiopia,2012,Flood,1272,0
Ethiopia,2013,Storm,720,0
Guatemala,2002,Flood,7134,0
Guatemala,2002,Storm,1400,0
Guatemala,2003,Flood,4245,39475
Guatemala,2003,Storm,1049,0
Guatemala,2004,Drought,51500,0
Guatemala,2004,Flood,16520,15000
Guatemala,2004,Storm,7950,306000
Guatemala,2005,Flood,25295,38462
Guatemala,2005,Storm,384435,420000
Guatemala,2006,Flood,22790,0
Guatemala,2006,Storm,792,0
Guatemala,2007,Flood,41230,0
Guatemala,2007,Storm,825,0
Guatemala,2008,Flood,102658,2366750
Guatemala,2008,Storm,2570,687500
Guatemala,2009,Drought,41100,0
Guatemala,2009,Earthquake,2573,0
Guatemala,2009,Flood,26975,197000
Guatemala,2009,Storm,10630,120000
Guatemala,2010,Flood,212202,0
Guatemala,2010,Storm,519338,278000
Guatemala,2011,Earthquake,8179,0
Guatemala,2011,Flood,71071,200000
Guatemala,2011,Storm,50733,58000
Guatemala,2012,Drought,0,1283000
Guatemala,2012,Earthquake,2471091,0
Guatemala,2012,Flood,10640,0
Guatemala,2012,Storm,5093,650000
Guatemala,2013,Drought,9295,1250000
Guatemala,2013,Earthquake,1524,0
Guatemala,2013,Flood,29693,500000
Guatemala,2013,Storm,6413,341058
Guatemala,2014,Drought,304075,19528000
Guatemala,2014,Earthquake,73365,0
Guatemala,2014,Flood,57067,3205
Guatemala,2014,Storm,73450,48000
Guatemala,2015,Drought,6600,0
Guatemala,2015,Flood,90592,0
Guatemala,2015,Storm,18487,144000
Honduras,2002,Drought,40000,17199317
Honduras,2002,Flood,119614,30774627
Honduras,2002,Storm,4940,35696308
Honduras,2003,Drought,185000,0
Honduras,2003,Flood,1445,920
Honduras,2003,Storm,150,20000
Honduras,2004,Drought,43500,0
Honduras,2005,Drought,0,43716216
Honduras,2005,Flood,42408,126869224
