"Event Year","Event ID","Country","Peril","Loss (USD)","Loss Type"
109,234,"Bangladesh","Cyclone",4255260.17549606,"Occurrence"
109,235,"Bangladesh","Cyclone",202626.281648839,"Occurrence"
110,236,"Bangladesh","Cyclone",25164225.7229124,"Occurrence"
111,237,"Bangladesh","Cyclone",1028148.80567989,"Occurrence"
111,238,"Bangladesh","Cyclone",6213214.14962603,"Occurrence"
111,239,"Bangladesh","Cyclone",4215750.76506899,"Occurrence"
111,240,"Bangladesh","Cyclone",19082347.2272584,"Occurrence"
112,241,"Bangladesh","Cyclone",331972.208830959,"Occurrence"
113,242,"Bangladesh","Cyclone",135149.161252724,"Occurrence"
113,243,"Bangladesh","Cyclone",45405.7727494044,"Occurrence"
113,244,"Bangladesh","Cyclone",11635160.8857979,"Occurrence"
113,245,"Bangladesh","Cyclone",243244.016393255,"Occurrence"
113,246,"Bangladesh","Cyclone",7931910.36219538,"Occurrence"
114,247,"Bangladesh","Cyclone",77692.8112994072,"Occurrence"
114,248,"Bangladesh","Cyclone",1016839.05960273,"Occurrence"
115,249,"Bangladesh","Cyclone",76345.236197517,"Occurrence"
115,250,"Bangladesh","Cyclone",79919.9634439022,"Occurrence"
117,251,"Bangladesh","Cyclone",170910696.622189,"Occurrence"
118,252,"Bangladesh","Cyclone",1269135.30691866,"Occurrence"
119,253,"Bangladesh","Cyclone",15336.3786159376,"Occurrence"
119,254,"Bangladesh","Cyclone",4266892.29266737,"Occurrence"
119,255,"Bangladesh","Cyclone",5811945.0457252,"Occurrence"
119,256,"Bangladesh","Cyclone",948857.391511257,"Occurrence"
120,257,"Bangladesh","Cyclone",22146057.4159148,"Occurrence"
121,258,"Bangladesh","Cyclone",275163.773527783,"Occurrence"
122,259,"Bangladesh","Cyclone",109422460.401353,"Occurrence"
122,260,"Bangladesh","Cyclone",3943159.87870745,"Occurrence"
122,261,"Bangladesh","Cyclone",225930.398293737,"Occurrence"
122,262,"Bangladesh","Cyclone",739752.154889618,"Occurrence"
122,263,"Bangladesh","Cyclone",950878.203910469,"Occurrence"
123,264,"Bangladesh","Cyclone",6674476.75107646,"Occurrence"
123,265,"Bangladesh","Cyclone",7450722.21986243,"Occurrence"
124,266,"Bangladesh","Cyclone",243555846.350388,"Occurrence"
125,267,"Bangladesh","Cyclone",13017.0375504318,"Occurrence"
125,268,"Bangladesh","Cyclone",397589.870020464,"Occurrence"
125,269,"Bangladesh","Cyclone",124.679238585654,"Occurrence"
126,270,"Bangladesh","Cyclone",141914.781698746,"Occurrence"
127,271,"Bangladesh","Cyclone",79362629.553137,"Occurrence"
127,272,"Bangladesh","Cyclone",5973.49952895064,"Occurrence"
128,273,"Bangladesh","Cyclone",52302.8939410031,"Occurrence"
129,274,"Bangladesh","Cyclone",175700.37590737,"Occurrence"
130,275,"Bangladesh","Cyclone",55253035.539655,"Occurrence"
130,276,"Bangladesh","Cyclone",477431.270975678,"Occurrence"
130,277,"Bangladesh","Cyclone",135938.359712424,"Occurrence"
130,278,"Bangladesh","Cyclone",68534157.7586868,"Occurrence"
130,279,"Bangladesh","Cyclone",666400.695203214,"Occurrence"
131,280,"Bangladesh","Cyclone",7304.51766785413,"Occurrence"
132,281,"Bangladesh","Cyclone",372539.461150999,"Occurrence"
133,282,"Bangladesh","Cyclone",25102606.0736876,"Occurrence"
133,283,"Bangladesh","Cyclone",193330.153201716,"Occurrence"
134,284,"Bangladesh","Cyclone",4087498.58067979,"Occurrence"
134,285,"Bangladesh","Cyclone",46969.4276732054,"Occurrence"
134,286,"Bangladesh","Cyclone",1707725.88337059,"Occurrence"
135,287,"Bangladesh","Cyclone",3509113.88853479,"Occurrence"
135,288,"Bangladesh","Cyclone",305143.234905948,"Occurrence"
135,289,"Bangladesh","Cyclone",49671.466123595,"Occurrence"
137,290,"Bangladesh","Cyclone",13607897.0667017,"Occurrence"
137,291,"Bangladesh","Cyclone",307766.37276347,"Occurrence"
137,292,"Bangladesh","Cyclone",2675.37290807834,"Occurrence"
137,293,"Bangladesh","Cyclone",128599.81744086,"Occurrence"
138,294,"Bangladesh","Cyclone",397.304325163921,"Occurrence"
138,295,"Bangladesh","Cyclone",19669686.7756686,"Occurrence"
139,296,"Bangladesh","Cyclone",461.048861876339,"Occurrence"
139,297,"Bangladesh","Cyclone",3913966.90634658,"Occurrence"
139,298,"Bangladesh","Cyclone",49484.1867247819,"Occurrence"
139,299,"Bangladesh","Cyclone",82480815.6007388,"Occurrence"
140,300,"Bangladesh","Cyclone",155003.162409761,"Occurrence"
140,301,"Bangladesh","Cyclone",1142212.43363127,"Occurrence"
140,302,"Bangladesh","Cyclone",35053.338084424,"Occurrence"
141,303,"Bangladesh","Cyclone",25019.34112473,"Occurrence"
141,304,"Bangladesh","Cyclone",143550.984311673,"Occurrence"
143,305,"Bangladesh","Cyclone",31866.3001461302,"Occurrence"
144,306,"Bangladesh","Cyclone",6438111.97936109,"Occurrence"
144,307,"Bangladesh","Cyclone",1571013.58497151,"Occurrence"
145,308,"Bangladesh","Cyclone",978793.343977174,"Occurrence"
146,309,"Bangladesh","Cyclone",121150.741460408,"Occurrence"
147,310,"Bangladesh","Cyclone",378519.731344862,"Occurrence"
147,311,"Bangladesh","Cyclone",3262.65560299327,"Occurrence"
147,312,"Bangladesh","Cyclone",2283.7076089974,"Occurrence"
147,313,"Bangladesh","Cyclone",51037865.4741308,"Occurrence"
148,314,"Bangladesh","Cyclone",73627.0754641445,"Occurrence"
148,315,"Bangladesh","Cyclone",9421357.56988289,"Occurrence"
148,316,"Bangladesh","Cyclone",1579207.97671479,"Occurrence"
148,317,"Bangladesh","Cyclone",209054424.541502,"Occurrence"
148,318,"Bangladesh","Cyclone",124047.768810727,"Occurrence"
148,319,"Bangladesh","Cyclone",187826.653832608,"Occurrence"
149,320,"Bangladesh","Cyclone",689448451.794958,"Occurrence"
150,321,"Bangladesh","Cyclone",2483860.52006676,"Occurrence"
152,322,"Bangladesh","Cyclone",238178396.971286,"Occurrence"
152,323,"Bangladesh","Cyclone",84990186.9539007,"Occurrence"
152,324,"Bangladesh","Cyclone",6927916187.14235,"Occurrence"
152,325,"Bangladesh","Cyclone",29823.757529117,"Occurrence"
153,326,"Bangladesh","Cyclone",139584.385909395,"Occurrence"
153,327,"Bangladesh","Cyclone",1352970028.7133,"Occurrence"
154,328,"Bangladesh","Cyclone",2995050.84288898,"Occurrence"
154,329,"Bangladesh","Cyclone",427.160053550738,"Occurrence"
155,330,"Bangladesh","Cyclone",252410.384518916,"Occurrence"
155,331,"Bangladesh","Cyclone",177628.480056865,"Occurrence"
156,332,"Bangladesh","Cyclone",24921328.329918,"Occurrence"
156,333,"Bangladesh","Cyclone",569280.997673699,"Occurrence"
157,334,"Bangladesh","Cyclone",87960.0222101678,"Occurrence"
157,335,"Bangladesh","Cyclone",9102010.14916397,"Occurrence"
158,336,"Bangladesh","Cyclone",17221698.3984078,"Occurrence"
158,337,"Bangladesh","Cyclone",3734788.85769045,"Occurrence"
158,338,"Bangladesh","Cyclone",2887944518.78321,"Occurrence"
160,339,"Bangladesh","Cyclone",2792388.02865837,"Occurrence"
160,340,"Bangladesh","Cyclone",413389.106433284,"Occurrence"
160,341,"Bangladesh","Cyclone",69448.2116146757,"Occurrence"
161,342,"Bangladesh","Cyclone",121539.192060953,"Occurrence"
161,343,"Bangladesh","Cyclone",427734.343778634,"Occurrence"
161,344,"Bangladesh","Cyclone",8922756.03040892,"Occurrence"
162,345,"Bangladesh","Cyclone",4955165.08971814,"Occurrence"
165,346,"Bangladesh","Cyclone",199327.209028529,"Occurrence"
165,347,"Bangladesh","Cyclone",6142.45223245043,"Occurrence"
165,348,"Bangladesh","Cyclone",18417330.2770534,"Occurrence"
166,349,"Bangladesh","Cyclone",6378018.48401978,"Occurrence"
167,350,"Bangladesh","Cyclone",784150.168846106,"Occurrence"
167,351,"Bangladesh","Cyclone",351036724.340098,"Occurrence"
167,352,"Bangladesh","Cyclone",6253906.78131978,"Occurrence"
167,353,"Bangladesh","Cyclone",52382.0377295308,"Occurrence"
168,354,"Bangladesh","Cyclone",26296887.4485536,"Occurrence"
168,355,"Bangladesh","Cyclone",2408614.52435294,"Occurrence"
168,356,"Bangladesh","Cyclone",5697157.08377817,"Occurrence"
168,357,"Bangladesh","Cyclone",40231.3577976182,"Occurrence"
169,358,"Bangladesh","Cyclone",3922758.4763376,"Occurrence"
169,359,"Bangladesh","Cyclone",1628223.265455,"Occurrence"
169,360,"Bangladesh","Cyclone",304640.339589648,"Occurrence"
170,361,"Bangladesh","Cyclone",5739.19923630579,"Occurrence"
170,362,"Bangladesh","Cyclone",101014359.260007,"Occurrence"
171,363,"Bangladesh","Cyclone",119902.486396156,"Occurrence"
171,364,"Bangladesh","Cyclone",370562.642713864,"Occurrence"
171,365,"Bangladesh","Cyclone",1341974.15646708,"Occurrence"
172,366,"Bangladesh","Cyclone",8441.79262118831,"Occurrence"
172,367,"Bangladesh","Cyclone",23197.6275366884,"Occurrence"
173,368,"Bangladesh","Cyclone",459541.481405295,"Occurrence"
173,369,"Bangladesh","Cyclone",78887.9222604778,"Occurrence"
173,370,"Bangladesh","Cyclone",1225504.57995797,"Occurrence"
