Archetype,Year,Peril Type,Total Affected
"Low income country, exposed to storms, floods, and earthquakes",2005,Flood,3657051.543
"Low income country, exposed to storms, floods, and earthquakes",2005,Storm,256861.8051
"Low income country, exposed to storms, floods, and earthquakes",2006,Earthquake,311333.4636
"Low income country, exposed to storms, floods, and earthquakes",2006,Flood,15795186.32
"Low income country, exposed to storms, floods, and earthquakes",2007,Earthquake,73329.82305
"Low income country, exposed to storms, floods, and earthquakes",2007,Flood,13241323.68
"Low income country, exposed to storms, floods, and earthquakes",2007,Storm,32113.5764
"Low income country, exposed to storms, floods, and earthquakes",2008,Flood,3334957.746
"Low income country, exposed to storms, floods, and earthquakes",2008,Storm,69288.33506
"Low income country, exposed to storms, floods, and earthquakes",2009,Flood,17320052.81
"Low income country, exposed to storms, floods, and earthquakes",2009,Storm,0
"Low income country, exposed to storms, floods, and earthquakes",2010,Flood,6259486.8
"Low income country, exposed to storms, floods, and earthquakes",2010,Storm,22.37285991
"Low income country, exposed to storms, floods, and earthquakes",2011,Flood,2640711.314
"Low income country, exposed to storms, floods, and earthquakes",2011,Storm,2253859.094
"Low income country, exposed to storms, floods, and earthquakes",2012,Flood,1641596.294
"Low income country, exposed to storms, floods, and earthquakes",2012,Storm,220660.2914
"Low income country, exposed to storms, floods, and earthquakes",2013,Earthquake,247041.0788
"Low income country, exposed to storms, floods, and earthquakes",2013,Flood,5155594.847
"Low income country, exposed to storms, floods, and earthquakes",2013,Storm,107393.2924
"Low income country, exposed to storms, floods, and earthquakes",2014,Flood,1785844.969
"Low income country, exposed to storms, floods, and earthquakes",2014,Storm,29687.31989
"Low income country, exposed to storms, floods, and earthquakes",2015,Earthquake,24865.53491
"Low income country, exposed to storms, floods, and earthquakes",2015,Flood,1432637.325
"Low income country, exposed to storms, floods, and earthquakes",2015,Storm,5542900.19
"Low income country, exposed to storms, floods, and earthquakes",2016,Flood,2162172.526
"Low income country, exposed to storms, floods, and earthquakes",2016,Storm,385677.7572
"Low income country, exposed to storms, floods, and earthquakes",2017,Earthquake,233.2470965
"Low income country, exposed to storms, floods, and earthquakes",2017,Flood,6716476.588
"Low income country, exposed to storms, floods, and earthquakes",2017,Storm,55283.65393
"Low income country, exposed to storms, floods, and earthquakes",2018,Earthquake,4372.200738
"Low income country, exposed to storms, floods, and earthquakes",2018,Flood,1539655.441
"Low income country, exposed to storms, floods, and earthquakes",2018,Storm,0
"Low income country, exposed to storms, floods, and earthquakes",2019,Flood,6248732.4
"Low income country, exposed to storms, floods, and earthquakes",2019,Storm,4.8
"Low income country, exposed to droughts, floods and storms",2004,Drought,2325198.287
"Low income country, exposed to droughts, floods and storms",2004,Flood,1937.665239
"Low income country, exposed to droughts, floods and storms",2004,Storm,15567.20253
"Low income country, exposed to droughts, floods and storms",2005,Drought,449550.8683
"Low income country, exposed to droughts, floods and storms",2005,Flood,1937406.241
"Low income country, exposed to droughts, floods and storms",2005,Storm,86562.05421
"Low income country, exposed to droughts, floods and storms",2007,Drought,4963014.51
"Low income country, exposed to droughts, floods and storms",2007,Flood,169582.6608
"Low income country, exposed to droughts, floods and storms",2009,Drought,1738283.168
"Low income country, exposed to droughts, floods and storms",2009,Flood,1343943.603
"Low income country, exposed to droughts, floods and storms",2009,Storm,544116.0602
"Low income country, exposed to droughts, floods and storms",2010,Drought,1623260.946
"Low income country, exposed to droughts, floods and storms",2010,Flood,11362.82662
"Low income country, exposed to droughts, floods and storms",2010,Storm,714277.0209
"Low income country, exposed to droughts, floods and storms",2011,Flood,21834.85727
"Low income country, exposed to droughts, floods and storms",2011,Storm,22396.09982
"Low income country, exposed to droughts, floods and storms",2012,Drought,1408644.532
"Low income country, exposed to droughts, floods and storms",2012,Flood,52058.60228
"Low income country, exposed to droughts, floods and storms",2013,Flood,190185.4002
"Low income country, exposed to droughts, floods and storms",2013,Storm,0
"Low income country, exposed to droughts, floods and storms",2014,Storm,317637.7655
"Low income country, exposed to droughts, floods and storms",2015,Flood,886628.6509
"Low income country, exposed to droughts, floods and storms",2016,Flood,817.7068071
"Low income country, exposed to droughts, floods and storms",2017,Flood,470405.1631
"Low income country, exposed to droughts, floods and storms",2018,Drought,5917441.926
"Low income country, exposed to droughts, floods and storms",2018,Flood,441492.6237
"Low income country, exposed to droughts, floods and storms",2018,Storm,4373.761424
"Low income country, exposed to droughts, floods and storms",2019,Storm,1875255
"Middle income country, exposed to floods",2004,Flood,14704.17419
"Middle income country, exposed to floods",2005,Flood,5951.287565
"Middle income country, exposed to floods",2006,Flood,1328945.484
"Middle income country, exposed to floods",2007,Flood,16633.7106
"Middle income country, exposed to floods",2009,Flood,53972.76037
"Middle income country, exposed to floods",2011,Flood,44767.24126
"Middle income country, exposed to floods",2012,Flood,25163.76153
"Middle income country, exposed to floods",2013,Flood,6077.870235
"Middle income country, exposed to floods",2014,Flood,15498.65279
"Middle income country, exposed to floods",2016,Flood,35264.2524
"Middle income country, exposed to floods",2017,Flood,28181.24162
"Middle income country, exposed to floods",2018,Flood,32553.91684
"Middle income country, exposed to floods",2019,Flood,1750
