,,2019,2023,
Djibouti,2012,868136,954297,9.92%
Djibouti,2013,883293,971753,10.01%
Djibouti,2014,898696,989087,10.06%
Djibouti,2015,913993,1006259,10.09%
Djibouti,2016,929112,1023261,10.13%
Djibouti,2017,944097,1040233,10.18%
Djibouti,2018,958920,1057198,10.25%
Djibouti,2019,973560,1073994,10.32%
Djibouti,2020,,1090156,#DIV/0!
Djibouti,2021,,1105557,#DIV/0!
Djibouti,2022,,0,#DIV/0!
Dominican Republic,2002,8724975,8795101,0.80%
Dominican Republic,2003,8850317,8919852,0.79%
Dominican Republic,2004,8974444,9043127,0.77%
Dominican Republic,2005,9097257,9164768,0.74%
Dominican Republic,2006,9218686,9284168,0.71%
Dominican Republic,2007,9338861,9402206,0.68%
Dominican Republic,2008,9458075,9522948,0.69%
Dominican Republic,2009,9576737,9648061,0.74%
Dominican Republic,2010,9695121,9775755,0.83%
Dominican Republic,2011,9813210,9903737,0.92%
Dominican Republic,2012,9930911,10030882,1.01%
Dominican Republic,2013,10048224,10157051,1.08%
Dominican Republic,2014,10165178,10282115,1.15%
Dominican Republic,2015,10281680,10405832,1.21%
Dominican Republic,2016,10397743,10527592,1.25%
Dominican Republic,2017,10513131,10647244,1.28%
Dominican Republic,2018,10627165,10765531,1.30%
Dominican Republic,2019,10738958,10881882,1.33%
Dominican Republic,2020,,10999664,#DIV/0!
Dominican Republic,2021,,11117873,#DIV/0!
Dominican Republic,2022,,0,#DIV/0!
El Salvador,2002,5962136,6011275,0.82%
El Salvador,2003,5994077,6026849,0.55%
El Salvador,2004,6023797,6035655,0.20%
El Salvador,2005,6052123,6037817,-0.24%
El Salvador,2006,6079399,6034436,-0.74%
El Salvador,2007,6105810,6044131,-1.01%
El Salvador,2008,6131764,6068099,-1.04%
El Salvador,2009,6157686,6091188,-1.08%
El Salvador,2010,6183875,6114034,-1.13%
El Salvador,2011,6210568,6137349,-1.18%
El Salvador,2012,6237923,6161289,-1.23%
El Salvador,2013,6266070,6185642,-1.28%
El Salvador,2014,6295128,6209526,-1.36%
El Salvador,2015,6325124,6231066,-1.49%
El Salvador,2016,6356143,6250510,-1.66%
El Salvador,2017,6388122,6266654,-1.90%
El Salvador,2018,6420744,6276342,-2.25%
El Salvador,2019,6453553,6280217,-2.69%
El Salvador,2020,,6292731,#DIV/0!
El Salvador,2021,,6314167,#DIV/0!
El Salvador,2022,,0,#DIV/0!
Ethiopia,2002,70142091,71073215,1.33%
Ethiopia,2003,72170584,73168838,1.38%
Ethiopia,2004,74239505,75301026,1.43%
Ethiopia,2005,76346311,77469940,1.47%
Ethiopia,2006,78489206,79691050,1.53%
Ethiopia,2007,80674348,81996185,1.64%
Ethiopia,2008,82916235,84357105,1.74%
Ethiopia,2009,85233913,86755585,1.79%
Ethiopia,2010,87639964,89237791,1.82%
Ethiopia,2011,90139927,91817929,1.86%
Ethiopia,2012,92726971,94451280,1.86%
Ethiopia,2013,95385785,97084366,1.78%
Ethiopia,2014,98094253,99746766,1.68%
Ethiopia,2015,100835458,102471895,1.62%
Ethiopia,2016,103603501,105293228,1.63%
Ethiopia,2017,106400024,108197950,1.69%
Ethiopia,2018,109224559,111129438,1.74%
Ethiopia,2019,112078730,114120594,1.82%
Ethiopia,2020,,117190911,#DIV/0!
Ethiopia,2021,,120283026,#DIV/0!
Ethiopia,2022,,0,#DIV/0!
Guatemala,2002,12147518,12147518,0.00%
Guatemala,2003,12415334,12415334,0.00%
Guatemala,2004,12682108,12682108,0.00%
Guatemala,2005,12948292,12948292,0.00%
Guatemala,2006,13213330,13213330,0.00%
Guatemala,2007,13477017,13477017,0.00%
Guatemala,2008,13739299,13739299,0.00%
Guatemala,2009,14000190,14000190,0.00%
Guatemala,2010,14259687,14259687,0.00%
Guatemala,2011,14521515,14521515,0.00%
Guatemala,2012,14781942,14781942,0.00%
Guatemala,2013,15043981,15043981,0.00%
Guatemala,2014,15306316,15306316,0.00%
Guatemala,2015,15567419,15567419,0.00%
Guatemala,2016,15827690,15827690,0.00%
Guatemala,2017,16087418,16087418,0.00%
Guatemala,2018,16346950,16346950,0.00%
Guatemala,2019,16604026,16604026,0.00%
Guatemala,2020,,16858333,#DIV/0!
Guatemala,2021,,17109746,#DIV/0!
Guatemala,2022,,0,#DIV/0!
Haiti,2002,8754150,8661546,-1.06%
Haiti,2003,8900104,8812245,-0.99%
Haiti,2004,9047077,8961489,-0.95%
Haiti,2005,9195288,9111900,-0.91%
Haiti,2006,9344785,9266288,-0.84%
Haiti,2007,9495328,9420826,-0.78%
Haiti,2008,9646580,9575247,-0.74%
Haiti,2009,9798046,9730638,-0.69%
Haiti,2010,9949322,9842880,-1.07%
Haiti,2011,10100320,9954312,-1.45%
Haiti,2012,10250930,10108539,-1.39%
Haiti,2013,10400673,10261206,-1.34%
Haiti,2014,10549008,10412740,-1.29%
Haiti,2015,10695542,10563757,-1.23%
Haiti,2016,10839970,10713849,-1.16%
Haiti,2017,10982366,10863543,-1.08%
Haiti,2018,11123176,11012421,-1.00%
Haiti,2019,11263077,11160438,-0.91%
Haiti,2020,,11306801,#DIV/0!
Haiti,2021,,11447569,#DIV/0!
Haiti,2022,,0,#DIV/0!
Honduras,2002,6929265,7019908,1.31%
Honduras,2003,7106319,7201881,1.34%
Honduras,2004,7282953,7383407,1.38%
Honduras,2005,7458985,7564613,1.42%
Honduras,2006,7634298,7745200,1.45%
Honduras,2007,7808518,7924462,1.48%
Honduras,2008,7980955,8101777,1.51%
Honduras,2009,8150775,8277302,1.55%
Honduras,2010,8317470,8450933,1.60%
Honduras,2011,8480671,8622504,1.67%
Honduras,2012,8640691,8792367,1.76%
Honduras,2013,8798521,8960657,1.84%
Honduras,2014,8955589,9127846,1.92%
Honduras,2015,9112916,9294505,1.99%
Honduras,2016,9270795,9460798,2.05%
Honduras,2017,9429013,9626842,2.10%
Honduras,2018,9587522,9792850,2.14%
Honduras,2019,9746117,9958829,2.18%
Honduras,2020,,10121763,#DIV/0!
Honduras,2021,,10278345,#DIV/0!
Honduras,2022,,0,#DIV/0!
India,2002,1093317189,1098313039,0.46%
India,2003,1111523144,1117415123,0.53%
India,2004,1129623456,1136264583,0.59%
India,2005,1147609927,1154638713,0.61%
India,2006,1165486291,1172373788,0.59%
India,2007,1183209472,1189691809,0.55%
India,2008,1200669765,1206734806,0.51%
India,2009,1217726215,1223640160,0.49%
India,2010,1234281170,1240613620,0.51%
India,2011,1250288729,1257621191,0.59%
India,2012,1265782790,1274487215,0.69%
India,2013,1280846129,1291132063,0.80%
India,2014,1295604184,1307246509,0.90%
India,2015,1310152403,1322866505,0.97%
India,2016,1324509589,1338636340,1.07%
India,2017,1338658835,1354195680,1.16%
India,2018,1352617328,1369003306,1.21%
India,2019,1366417754,1383112050,1.22%
India,2020,,1396387127,#DIV/0!
India,2021,,1407563842,#DIV/0!
India,2022,,0,#DIV/0!
Indonesia,2002,217357793,220115092,1.27%
Indonesia,2003,220309469,223080121,1.26%
Indonesia,2004,223285676,225938595,1.19%
Indonesia,2005,226289470,228805144,1.11%
Indonesia,2006,229318262,231797427,1.08%
Indonesia,2007,232374245,234858289,1.07%
Indonesia,2008,235469762,237936543,1.05%
Indonesia,2009,238620563,240981299,0.99%
Indonesia,2010,241834215,244016173,0.90%
Indonesia,2011,245116206,247099697,0.81%
Indonesia,2012,248452413,250222695,0.71%
Indonesia,2013,251806402,253275918,0.58%
Indonesia,2014,255129004,256229761,0.43%
Indonesia,2015,258383256,259091970,0.27%
Indonesia,2016,261554226,261850182,0.11%
Indonesia,2017,264645886,264498852,-0.06%
Indonesia,2018,267663435,267066843,-0.22%
Indonesia,2019,270625568,269582878,-0.39%
Indonesia,2020,,271857970,#DIV/0!
Indonesia,2021,,273753191,#DIV/0!
Indonesia,2022,,0,#DIV/0!
Iran (Islamic Republic of),2002,67284796,67327117,0.06%
Iran (Islamic Republic of),2003,68122938,67954699,-0.25%
Iran (Islamic Republic of),2004,68951281,69061674,0.16%
Iran (Islamic Republic of),2005,69762347,70182594,0.60%
Iran (Islamic Republic of),2006,70554760,71275760,1.02%
Iran (Islamic Republic of),2007,71336475,72319418,1.38%
Iran (Islamic Republic of),2008,72120604,73318394,1.66%
Iran (Islamic Republic of),2009,72924837,74322685,1.92%
Iran (Islamic Republic of),2010,73762519,75373855,2.18%
Iran (Islamic Republic of),2011,74634956,76342971,2.29%
Iran (Islamic Republic of),2012,75539862,77324451,2.36%
Iran (Islamic Republic of),2013,76481943,78458928,2.58%
Iran (Islamic Republic of),2014,77465753,79961672,3.22%
Iran (Islamic Republic of),2015,78492215,81790841,4.20%
Iran (Islamic Republic of),2016,79564016,83306231,4.70%
Iran (Islamic Republic of),2017,80673951,84505076,4.75%
Iran (Islamic Republic of),2018,81800269,85617562,4.67%
Iran (Islamic Republic of),2019,82913906,86564202,4.40%
Iran (Islamic Republic of),2020,,87290193,#DIV/0!
Iran (Islamic Republic of),2021,,87923432,#DIV/0!
Iran (Islamic Republic of),2022,,0,#DIV/0!
Jamaica,2002,2692845,2638244,-2.03%
Jamaica,2003,2709437,2651027,-2.16%
Jamaica,2004,2725015,2664024,-2.24%
Jamaica,2005,2740003,2676863,-2.30%
Jamaica,2006,2754407,2689660,-2.35%
Jamaica,2007,2768227,2701221,-2.42%
Jamaica,2008,2781876,2711373,-2.53%
Jamaica,2009,2795837,2722401,-2.63%
Jamaica,2010,2810460,2733896,-2.72%
Jamaica,2011,2825929,2746169,-2.82%
Jamaica,2012,2842132,2759817,-2.90%
Jamaica,2013,2858709,2773129,-2.99%
Jamaica,2014,2875136,2784543,-3.15%
Jamaica,2015,2891021,2794445,-3.34%
Jamaica,2016,2906238,2802695,-3.56%
Jamaica,2017,2920853,2808376,-3.85%
Jamaica,2018,2934855,2811835,-4.19%
Jamaica,2019,2948279,2813773,-4.56%
Jamaica,2020,,2820436,#DIV/0!
Jamaica,2021,,2827695,#DIV/0!
Jamaica,2022,,0,#DIV/0!
Kenya,2002,33751739,32779823,-2.88%
Kenya,2003,34678779,33767122,-2.63%
Kenya,2004,35635271,34791836,-2.37%
Kenya,2005,36624895,35843010,-2.13%
Kenya,2006,37649033,36925253,-1.92%
Kenya,2007,38705932,38036793,-1.73%
Kenya,2008,39791981,39186895,-1.52%
Kenya,2009,40901792,40364444,-1.31%
Kenya,2010,42030676,41517895,-1.22%
Kenya,2011,43178257,42635144,-1.26%
Kenya,2012,44343410,43725806,-1.39%
Kenya,2013,45519889,44792368,-1.60%
Kenya,2014,46699981,45831863,-1.86%
Kenya,2015,47878336,46851488,-2.14%
Kenya,2016,49051686,47894670,-2.36%
Kenya,2017,50221473,48948137,-2.54%
Kenya,2018,51393010,49953304,-2.80%
Kenya,2019,52573973,50951450,-3.09%
Kenya,2020,,51985780,#DIV/0!
Kenya,2021,,53005614,#DIV/0!
Kenya,2022,,0,#DIV/0!
Kyrgyzstan,2002,4990700,4990700,0.00%
Kyrgyzstan,2003,5043300,5043300,0.00%
Kyrgyzstan,2004,5104700,5104700,0.00%
Kyrgyzstan,2005,5162600,5162600,0.00%
Kyrgyzstan,2006,5218400,5218400,0.00%
Kyrgyzstan,2007,5268400,5268400,0.00%
Kyrgyzstan,2008,5318700,5318700,0.00%
Kyrgyzstan,2009,5383300,5383300,0.00%
Kyrgyzstan,2010,5447900,5447900,0.00%
Kyrgyzstan,2011,5514600,5514600,0.00%
Kyrgyzstan,2012,5607200,5607200,0.00%
Kyrgyzstan,2013,5719600,5719600,0.00%
Kyrgyzstan,2014,5835500,5835500,0.00%
Kyrgyzstan,2015,5956900,5956900,0.00%
Kyrgyzstan,2016,6079500,6079500,0.00%
Kyrgyzstan,2017,6198200,6198200,0.00%
Kyrgyzstan,2018,6322800,6322800,0.00%
Kyrgyzstan,2019,6456900,6456200,-0.01%
Kyrgyzstan,2020,,6579900,#DIV/0!
Kyrgyzstan,2021,,6691800,#DIV/0!
Kyrgyzstan,2022,,0,#DIV/0!
Laos,2002,5493246,5606101,2.05%
Laos,2003,5576640,5689065,2.02%
Laos,2004,5662208,5768167,1.87%
Laos,2005,5751676,5852970,1.76%
Laos,2006,5846074,5946593,1.72%
Laos,2007,5944948,6041348,1.62%
Laos,2008,6046620,6135861,1.48%
Laos,2009,6148623,6229930,1.32%
Laos,2010,6249165,6323418,1.19%
Laos,2011,6347567,6416327,1.08%
Laos,2012,6444530,6508803,1.00%
Laos,2013,6541304,6600742,0.91%
Laos,2014,6639756,6691454,0.78%
Laos,2015,6741164,6787419,0.69%
Laos,2016,6845846,6891363,0.66%
Laos,2017,6953035,6997917,0.65%
Laos,2018,7061507,7105006,0.62%
Laos,2019,7169455,7212053,0.59%
Laos,2020,,7319399,#DIV/0!
Laos,2021,,7425057,#DIV/0!
Laos,2022,,0,#DIV/0!
Madagascar,2002,16765117,17211934,2.67%
Madagascar,2003,17279141,17724310,2.58%
Madagascar,2004,17802997,18250774,2.52%
Madagascar,2005,18336724,18792171,2.48%
Madagascar,2006,18880269,19350299,2.49%
Madagascar,2007,19433530,19924958,2.53%
Madagascar,2008,19996473,20513599,2.59%
Madagascar,2009,20569117,21117092,2.66%
Madagascar,2010,21151640,21731053,2.74%
Madagascar,2011,21743967,22348158,2.78%
Madagascar,2012,22346641,22966240,2.77%
Madagascar,2013,22961253,23588073,2.73%
Madagascar,2014,23589887,24215976,2.65%
Madagascar,2015,24234088,24850912,2.55%
Madagascar,2016,24894380,25501941,2.44%
