Serial,Event,&quot;Province&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
2003,STORM,Luang Prabang,30/03/2007,0,0,0
2001,STORM,Luang Prabang,30/03/2007,0,0,0
2002,STORM,Luang Prabang,24/08/2009,0,0,0
2001,STORM,Luang Prabang,30/03/2008,0,0,0
2000,STORM,Luang Prabang,30/03/2007,0,16,0
1999,STORM,Luang Prabang,06/05/2006,0,8,0
1998,STORM,Luang Prabang,27/02/2012,0,167,0
1995,STORM,Bokeo,12/04/2009,0,2533,0
1994,FIRE,Luang Prabang,05/09/2009,0,4,0
1993,FIRE,Luang Prabang,22/01/2009,0,5,0
1992,FIRE,Luang Prabang,15/06/2008,0,9,0
1991,STORM,Luang Prabang,27/03/2009,0,82,0
1990,FIRE,Luang Prabang,04/03/2009,0,6,0
1989,FIRE,Luang Prabang,02/03/2009,0,8,0
1988,FIRE,Luang Prabang,27/02/2009,0,20,0
1987,FIRE,Luang Prabang,04/03/2009,0,13,0
1986,FIRE,Luang Prabang,14/01/2009,0,5,0
1985,FIRE,Luang Prabang,03/03/2009,0,117,0
1985,FIRE,Luang Prabang,03/03/2009,0,117,0
1984,FIRE,Luang Prabang,02/09/2009,0,5,0
1983,FIRE,Luang Prabang,03/03/2009,0,5,0
1982,STORM,Sekong,26/06/2008,0,5,0
1981,FIRE,Sekong,08/05/2008,0,0,0
1980,FIRE,Sekong,10/11/2008,0,23,0
1979,STORM,Sekong,17/08/2008,0,5,0
1977,FIRE,Champassack,20/10/2008,0,140,0
1978,ELEPHANT ATTACK,Champassack,27/11/2008,0,42,0
1977,FIRE,Champassack,20/10/2008,0,140,0
1974,FIRE,Borikhamxay,02/12/2008,0,7,0
1974,FIRE,Borikhamxay,02/12/2008,0,7,0
1973,FIRE,Borikhamxay,28/11/2008,0,4,0
1972,FIRE,Borikhamxay,26/09/2008,0,8,0
1971,FIRE,Borikhamxay,21/06/2008,0,4,0
1968,FIRE,Borikhamxay,14/02/2008,0,8,0
1969,FIRE,Borikhamxay,21/08/2012,0,5,0
1970,STORM,Borikhamxay,24/06/2012,0,10,0
1969,FIRE,Borikhamxay,21/08/2012,0,5,0
1968,FIRE,Borikhamxay,14/02/2008,0,8,0
1967,FIRE,Borikhamxay,15/01/2008,0,3,0
1966,FIRE,Borikhamxay,25/02/2008,0,13,0
1965,FIRE,Borikhamxay,25/02/2008,0,13,0
1964,FLOOD,Borikhamxay,23/04/2008,0,7,0
1962,FIRE,Borikhamxay,21/09/2008,0,5,0
1961,FIRE,Borikhamxay,24/09/2008,0,7,0
1959,FIRE,Borikhamxay,05/12/2008,0,16,0
1957,FLOOD,Saravane,2010/0/0,0,1381,0
1956,FIRE,Saravane,22/09/2012,0,15,0
1955,FIRE,Saravane,07/07/2012,0,22,0
1953,FIRE,Saravane,07/07/2012,0,22,0
1953,FIRE,Saravane,07/07/2012,0,17,0
1952,FIRE,Saravane,08/06/2012,0,4,0
1951,FIRE,Saravane,26/03/2012,0,2,0
1950,FIRE,Saravane,10/02/2012,0,10,0
1949,FIRE,Saravane,16/03/2012,0,6,0
1945,FIRE,Saravane,16/03/2012,0,8,0
1948,FLOOD,Saravane,28/04/2012,0,8,0
1947,FLOOD,Saravane,18/08/2012,0,36,0
1946,FIRE,Saravane,16/03/2012,0,12,0
1945,FIRE,Saravane,16/03/2012,0,8,0
1918,STORM,Saravane,05/03/2012,0,305,0
1919,STORM,Saravane,05/03/2012,0,243,0
1944,STORM,Saravane,05/03/2012,0,26,0
1943,STORM,Saravane,05/03/2012,0,0,0
1920,STORM,Saravane,05/03/2012,0,59,0
1921,STORM,Saravane,17/08/2012,0,30,0
1922,STORM,Saravane,05/03/2012,0,50,0
1924,STORM,Saravane,05/03/2012,0,57,0
1925,STORM,Saravane,05/03/2012,0,32,0
1926,STORM,Saravane,05/03/2012,0,38,0
1928,STORM,Saravane,05/03/2012,0,25,0
1929,STORM,Saravane,17/08/2012,0,74,0
1930,FIRE,Saravane,05/03/2012,0,30,0
1932,STORM,Saravane,05/03/2012,0,47,0
1942,STORM,Saravane,05/04/2012,0,32,0
1941,STORM,Saravane,05/07/2012,0,6,0
1939,STORM,Saravane,05/07/2012,0,12,0
1939,STORM,Saravane,05/07/2012,0,0,0
1938,STORM,Saravane,05/07/2012,0,32,0
1936,STORM,Saravane,05/07/2012,0,5,0
1934,STORM,Saravane,05/07/2012,0,101,0
1933,FIRE,Saravane,05/03/2012,0,29,0
1932,FIRE,Saravane,05/03/2012,0,47,0
1931,FIRE,Saravane,05/03/2012,0,38,0
1930,FIRE,Saravane,05/03/2012,0,30,0
1929,FIRE,Saravane,17/08/2012,0,74,0
1928,FIRE,Saravane,05/03/2012,0,25,0
1927,FIRE,Saravane,17/08/2012,0,78,0
1926,FIRE,Saravane,05/03/2012,0,38,0
1925,FIRE,Saravane,05/03/2012,0,32,0
1924,FLOOD,Saravane,05/03/2012,0,57,0
1922,FIRE,Saravane,05/03/2012,0,50,0
1921,FIRE,Saravane,17/08/2012,0,30,0
1920,FIRE,Saravane,05/03/2012,0,59,0
1919,FLOOD,Saravane,05/03/2012,0,243,0
1918,FIRE,Saravane,03/05/2012,0,305,0
1916,FIRE,Saravane,14/05/2012,0,22,0
1915,FIRE,Saravane,14/05/2012,0,17,0
1913,FIRE,Saravane,17/08/2012,0,1,0
1912,FIRE,Saravane,17/08/2012,0,22,0
1911,FIRE,Saravane,14/05/2012,0,47,0
1910,FIRE,Saravane,14/05/2012,0,18,0
1909,FIRE,Saravane,02/08/2012,0,83,0
1908,FIRE,Saravane,15/02/2012,0,75,0
1907,FIRE,Attapeu,2008/0/0,0,13,0
1905,FIRE,Attapeu,2012/0/19,0,0,0
1904,FIRE,Attapeu,31/01/2008,0,13,0
1902,FIRE,Attapeu,25/11/2007,0,8,0
1896,FIRE,Attapeu,2008/0/0,0,0,0
2130,STORM,Xiengkhuang,12/06/2011,0,0,0
