Serial,Event,&quot;Region&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
29595,FLOOD,Gambella,23/08/2020,0,0,0
29594,FLOOD,Gambella,23/08/2020,0,0,0
29593,FLOOD,Gambella,23/08/2020,0,0,0
29591,FLOOD,Gambella,23/08/2020,0,0,0
29590,FLOOD,Gambella,23/08/2020,0,0,0
29589,Covid-19,Gambella,06/06/2020,0,0,0
29588,OTHER,Gambella,06/06/2020,0,0,0
29587,OTHER,Gambella,06/06/2020,0,0,0
29586,OTHER,Gambella,06/06/2020,0,0,0
29585,OTHER,Gambella,06/06/2020,0,0,0
29584,OTHER,Gambella,06/06/2020,0,0,0
29583,OTHER,Gambella,06/06/2020,0,0,0
29582,OTHER,Gambella,06/06/2020,0,0,0
29581,OTHER,Gambella,06/06/2020,0,0,0
29580,OTHER,Gambella,06/06/2020,0,0,0
29579,CONFLICT,Gambella,20/02/2020,0,0,0
29577,CONFLICT,Oromiya,15/09/2017,0,0,0
29576,CONFLICT,Oromiya,15/11/2017,0,0,0
29575,CONFLICT,Oromiya,15/09/2017,0,0,0
29574,CONFLICT,Oromiya,15/11/2017,0,0,0
29573,CONFLICT,Oromiya,15/11/2017,0,0,0
29572,CONFLICT,Oromiya,15/11/2017,0,0,0
29571,CONFLICT,Oromiya,2017/0/0,0,0,0
29570,CONFLICT,Oromiya,2017/0/0,0,0,0
29569,CONFLICT,Oromiya,15/11/2017,0,0,0
29568,CONFLICT,Oromiya,2017/0/0,0,0,0
29567,CONFLICT,Oromiya,2017/0/0,0,0,0
29566,CONFLICT,Oromiya,2017/0/0,0,0,0
29565,CONFLICT,Oromiya,2017/0/0,0,0,0
29564,CONFLICT,Oromiya,2017/0/0,0,0,0
29563,CONFLICT,Oromiya,2017/0/0,0,0,0
29562,CONFLICT,Oromiya,15/11/2017,0,0,0
29561,CONFLICT,Oromiya,15/11/2017,0,0,0
29560,CONFLICT,Oromiya,2017/0/0,0,0,0
29559,CONFLICT,Oromiya,2017/0/0,0,0,0
29558,CONFLICT,Oromiya,2017/0/0,0,0,0
29557,CONFLICT,Oromiya,15/11/2017,0,0,0
29556,CONFLICT,Oromiya,2017/0/0,0,0,0
29555,CONFLICT,Oromiya,15/11/2017,0,0,0
29554,CONFLICT,Oromiya,2017/0/0,0,0,0
29553,CONFLICT,Oromiya,15/11/2017,0,0,0
29552,CONFLICT,Oromiya,15/11/2017,0,0,0
29551,CONFLICT,Oromiya,2018/0/0,0,0,0
29550,CONFLICT,Oromiya,2018/0/0,0,0,0
29549,CONFLICT,Oromiya,2018/0/0,0,0,0
29548,CONFLICT,Oromiya,2018/0/0,0,0,0
29547,OTHER,Amhara,2019/0/0,0,0,0
29546,OTHER,Oromiya,2019/0/0,0,0,0
29545,OTHER,SNNPR,2019/0/0,0,0,0
29544,OTHER,Tigray,2019/0/0,0,0,0
29543,OTHER,Benishangul Gumz,2019/0/0,0,0,0
29542,OTHER,Somali,2019/0/0,0,0,0
29541,OTHER,Gambella,2019/0/0,0,0,0
29540,OTHER,Dire Dawa,2019/0/0,0,0,0
29539,OTHER,Harari,2019/0/0,0,0,0
29538,OTHER,Amhara,2018/0/0,0,0,0
29537,OTHER,Oromiya,2018/0/0,0,0,0
29536,OTHER,SNNPR,2018/0/0,0,0,0
29535,OTHER,Tigray,2018/0/0,0,0,0
29534,OTHER,Benishangul Gumz,2018/0/0,0,0,0
29533,OTHER,Somali,2018/0/0,0,0,0
29532,OTHER,Gambella,2018/0/0,0,0,0
29531,OTHER,Dire Dawa,2018/0/0,0,0,0
29530,OTHER,Harari,2018/0/0,0,0,0
29529,OTHER,Amhara,2017/0/0,0,0,0
29528,OTHER,Oromiya,2017/0/0,0,0,0
29527,OTHER,SNNPR,2017/0/0,0,0,0
29526,OTHER,Tigray,2017/0/0,0,0,0
29525,OTHER,Benishangul Gumz,2017/0/0,0,0,0
29524,OTHER,Somali,2017/0/0,0,0,0
29523,OTHER,Gambella,2017/0/0,0,0,0
29522,OTHER,Dire Dawa,2017/0/0,0,0,0
29521,OTHER,Harari,2017/0/0,0,0,0
29520,OTHER,Amhara,2016/0/0,0,0,0
29519,OTHER,Oromiya,2016/0/0,0,0,0
29518,OTHER,SNNPR,2016/0/0,0,0,0
29517,OTHER,Tigray,2016/0/0,0,0,0
29516,OTHER,Benishangul Gumz,2016/0/0,0,0,0
29515,OTHER,Somali,2016/0/0,0,0,0
29514,OTHER,Gambella,2016/0/0,0,0,0
29513,OTHER,Dire Dawa,2016/0/0,0,0,0
29511,OTHER,Harari,2016/0/0,0,0,0
29510,OTHER,Harari,2015/0/0,0,0,0
29509,OTHER,Dire Dawa,2015/0/0,0,0,0
29508,OTHER,Gambella,2015/0/0,0,0,0
29507,OTHER,Somali,2015/0/0,0,0,0
29506,OTHER,Harari,2014/0/0,0,0,0
29505,OTHER,Dire Dawa,2014/0/0,0,0,0
29504,OTHER,Gambella,2014/0/0,0,0,0
29503,OTHER,Somali,2014/0/0,0,0,0
29502,OTHER,Tigray,2014/0/0,0,0,0
29501,OTHER,Amhara,2014/0/0,0,0,0
29499,OTHER,Harari,2013/0/0,0,0,0
29498,OTHER,Dire Dawa,2013/0/0,0,0,0
29497,OTHER,Somali,2013/0/0,0,0,0
29496,OTHER,Tigray,2013/0/0,0,0,0
29495,OTHER,Amhara,2013/0/0,0,0,0
29494,OTHER,Tigray,2019/0/0,0,0,0
29493,OTHER,Benishangul Gumz,2017/0/0,0,0,0
29492,OTHER,Benishangul Gumz,2016/0/0,0,0,0
29491,OTHER,Benishangul Gumz,2015/0/0,0,0,0
29490,OTHER,Benishangul Gumz,2014/0/0,0,0,0
29489,OTHER,Benishangul Gumz,2013/0/0,0,0,0
29488,OTHER,Benishangul Gumz,2012/0/0,0,0,0
29487,OTHER,Benishangul Gumz,2011/0/0,0,0,0
29486,OTHER,Benishangul Gumz,2010/0/0,0,0,0
29485,OTHER,Tigray,2012/0/0,0,0,0
29484,OTHER,Tigray,2015/0/0,0,0,0
29483,OTHER,Tigray,2017/0/0,0,0,0
29482,OTHER,Tigray,2018/0/0,0,0,0
29481,OTHER,Tigray,2019/0/0,0,0,0
29480,OTHER,Afar,2019/0/0,0,0,0
29479,OTHER,Afar,2018/0/0,0,0,0
29478,OTHER,Afar,2017/0/0,0,0,0
29477,OTHER,Afar,2016/0/0,0,0,0
29476,OTHER,Afar,2015/0/0,0,0,0
29475,OTHER,Afar,2012/0/0,0,0,0
29474,OTHER,Afar,2011/0/0,0,0,0
29473,OTHER,Afar,2010/0/0,0,0,0
29472,OTHER,Amhara,2019/0/0,0,0,0
29471,OTHER,Amhara,2018/0/0,0,0,0
29470,OTHER,Amhara,2017/0/0,0,0,0
29469,OTHER,Amhara,2016/0/0,0,0,0
29468,OTHER,Amhara,2015/0/0,0,0,0
29467,OTHER,Amhara,2012/0/0,0,0,0
29466,OTHER,Amhara,2011/0/0,0,0,0
29465,OTHER,Amhara,2010/0/0,0,0,0
29464,OTHER,Gambella,2013/0/0,0,0,0
29463,OTHER,Gambella,2012/0/0,0,0,0
29462,OTHER,Gambella,2011/0/0,0,0,0
29461,OTHER,Gambella,2010/0/0,0,0,0
29460,OTHER,Somali,2012/0/0,0,0,0
29459,OTHER,Somali,2011/0/0,0,0,0
29458,OTHER,Somali,2010/0/0,0,0,0
29457,OTHER,SNNPR,2019/0/0,0,0,0
29456,OTHER,SNNPR,2018/0/0,0,0,0
29455,OTHER,SNNPR,2017/0/0,0,0,0
29454,OTHER,SNNPR,2016/0/0,0,0,0
29453,OTHER,SNNPR,2015/0/0,0,0,0
29452,OTHER,SNNPR,2014/0/0,0,0,0
29451,OTHER,Oromiya,2010/0/0,0,0,0
29450,OTHER,Oromiya,2011/0/0,0,0,0
29449,OTHER,Oromiya,2012/0/0,0,0,0
29448,OTHER,Oromiya,2013/0/0,0,0,0
29447,OTHER,Oromiya,2014/0/0,0,0,0
29446,OTHER,Oromiya,2015/0/0,0,0,0
29445,OTHER,Oromiya,2016/0/0,0,0,0
29444,OTHER,Oromiya,2017/0/0,0,0,0
29443,OTHER,Oromiya,2018/0/0,0,0,0
29442,OTHER,SNNPR,2013/0/0,0,0,0
29441,OTHER,SNNPR,2012/0/0,0,0,0
29440,OTHER,SNNPR,2011/0/0,0,0,0
29439,OTHER,SNNPR,2010/0/0,0,0,0
29436,OTHER,Addis Ababa,2012/0/0,0,0,0
29435,Land slide,Addis Ababa,2012/0/0,0,0,0
29434,FLOOD,Addis Ababa,2012/0/0,0,0,0
29433,OTHER,Addis Ababa,2013/0/0,0,0,0
29432,Land slide,Addis Ababa,2013/0/0,0,0,0
29431,FLOOD,Addis Ababa,2013/0/0,0,0,0
29430,OTHER,Addis Ababa,2014/0/0,0,0,0
29429,FIRE,Addis Ababa,2014/0/0,0,0,0
29428,Land slide,Addis Ababa,2014/0/0,0,0,0
29427,OTHER,Addis Ababa,2015/0/0,0,0,0
29426,FIRE,Addis Ababa,2015/0/0,0,0,0
29425,Land slide,Addis Ababa,2015/0/0,0,0,0
29424,OTHER,Addis Ababa,2016/0/0,0,0,0
29423,FIRE,Addis Ababa,2016/0/0,0,0,0
29422,OTHER,Addis Ababa,2017/0/0,0,0,0
29421,FIRE,Addis Ababa,2017/0/0,0,0,0
29420,FLOOD,Addis Ababa,2017/0/0,0,0,0
29419,OTHER,Addis Ababa,2018/0/0,0,0,0
29418,FIRE,Addis Ababa,2018/0/0,0,0,0
29417,Land slide,Addis Ababa,2018/0/0,0,0,0
29416,FLOOD,Addis Ababa,2018/0/0,0,0,0
29415,OTHER,Addis Ababa,2019/0/0,0,0,0
29414,FIRE,Addis Ababa,2019/0/0,0,0,0
29413,Land slide,Addis Ababa,2019/0/0,0,0,0
29412,FLOOD,Addis Ababa,2019/0/0,0,0,0
29411,OTHER,Oromiya,2019/0/0,0,0,0
29409,FIRE,SNNPR,2014/0/0,0,0,0
29408,FLOOD,SNNPR,2014/0/0,0,0,0
29407,FLOOD,SNNPR,2014/0/0,0,0,0
29406,Land slide,SNNPR,2014/0/0,0,0,0
29405,Land slide,SNNPR,2014/0/0,0,0,0
29404,FIRE,SNNPR,2015/0/0,0,0,0
29403,FIRE,SNNPR,2015/0/0,0,0,0
29402,FIRE,SNNPR,2015/0/0,0,0,0
29401,FIRE,SNNPR,2015/0/0,0,0,0
29400,FIRE,SNNPR,2015/0/0,0,0,0
29399,FIRE,SNNPR,2015/0/0,0,0,0
29398,FLOOD,SNNPR,2015/0/0,0,0,0
29397,FIRE,SNNPR,2015/0/0,0,0,0
29396,FIRE,SNNPR,2015/0/0,0,0,0
29395,FIRE,SNNPR,2015/0/0,0,0,0
29394,FIRE,SNNPR,2015/0/0,0,0,0
29393,CONFLICT,SNNPR,2017/0/0,0,0,0
29392,CONFLICT,SNNPR,2017/0/0,0,0,0
29391,CONFLICT,SNNPR,2017/0/0,0,0,0
29390,CONFLICT,SNNPR,2017/0/0,0,0,0
29389,CONFLICT,SNNPR,2017/0/0,0,0,0
29388,CONFLICT,SNNPR,2017/0/0,0,0,0
29387,CONFLICT,SNNPR,2017/0/0,0,0,0
29386,CONFLICT,SNNPR,2017/0/0,0,0,0
29385,CONFLICT,SNNPR,2017/0/0,0,0,0
29384,CONFLICT,SNNPR,2017/0/0,0,0,0
29383,CONFLICT,SNNPR,2017/0/0,0,0,0
29382,CONFLICT,SNNPR,2017/0/0,0,0,0
29381,CONFLICT,SNNPR,2017/0/0,0,0,0
29380,CONFLICT,SNNPR,2017/0/0,0,0,0
29379,CONFLICT,SNNPR,2017/0/0,0,0,0
29378,CONFLICT,SNNPR,2017/0/0,0,0,0
29377,CONFLICT,SNNPR,2017/0/0,0,0,0
29376,CONFLICT,SNNPR,2017/0/0,0,0,0
29375,CONFLICT,SNNPR,2017/0/0,0,0,0
29374,Land slide,SNNPR,2018/0/0,0,0,0
29373,CONFLICT,SNNPR,2018/0/0,0,0,0
29372,CONFLICT,SNNPR,2018/0/0,0,0,0
29371,CONFLICT,SNNPR,2018/0/0,0,0,0
29370,CONFLICT,SNNPR,2018/0/0,0,0,0
29369,CONFLICT,SNNPR,2018/0/0,0,0,0
29368,CONFLICT,SNNPR,2018/0/0,0,0,0
29367,CONFLICT,SNNPR,2018/0/0,0,0,0
29366,CONFLICT,SNNPR,2018/0/0,0,0,0
29365,CONFLICT,SNNPR,2018/0/0,0,0,0
29364,CONFLICT,SNNPR,2018/0/0,0,0,0
29363,CONFLICT,SNNPR,2018/0/0,0,0,0
29362,CONFLICT,SNNPR,2018/0/0,0,0,0
29361,CONFLICT,SNNPR,2018/0/0,0,0,0
29360,CONFLICT,SNNPR,2018/0/0,0,0,0
29359,CONFLICT,SNNPR,2018/0/0,0,0,0
29358,CONFLICT,SNNPR,2018/0/0,0,0,0
29357,CONFLICT,SNNPR,2018/0/0,0,0,0
29356,CONFLICT,SNNPR,2018/0/0,0,0,0
