Serial,Event,&quot;County&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
30903,ROAD ACCIDENT,NAROK,20/10/2022,0,0,0
30902,ROAD ACCIDENT,KILIFI,20/10/2022,0,0,0
30901,FIRE,NAIROBI,20/10/2022,0,0,0
30900,ROAD ACCIDENT,KERICHO,20/10/2022,0,0,0
30899,ROAD ACCIDENT,KITUI,20/10/2022,0,0,0
30897,ROAD ACCIDENT,MAKUENI,16/10/2022,0,0,0
30896,ROAD ACCIDENT,NAIROBI,16/10/2022,0,0,0
30895,ROAD ACCIDENT,NAIROBI,16/10/2022,0,0,0
30894,ROAD ACCIDENT,NAIROBI,16/10/2022,0,0,0
30893,ELECTROCUTION,KAKAMEGA,15/10/2022,0,0,0
30892,DROWNING,EMBU,14/10/2022,0,0,0
30891,DROWNING,KILIFI,14/10/2022,0,0,0
30890,ROAD ACCIDENT,NAIROBI,14/10/2022,0,0,0
30889,DROWNING,NAKURU,14/10/2022,0,0,0
30887,ROAD ACCIDENT,HOMABAY,13/10/2022,0,0,0
30886,ROAD ACCIDENT,KERICHO,13/10/2022,0,0,0
30885,FIRE,MURANGA,13/10/2022,0,0,0
30884,FIRE,MURANGA,13/10/2022,0,0,0
30883,ROAD ACCIDENT,NAIROBI,13/10/2022,0,0,0
30882,ROAD ACCIDENT,NAIROBI,13/10/2022,0,0,0
30881,DROWNING,KIAMBU,13/10/2022,0,0,0
30880,FIRE,KIAMBU,11/10/2022,0,0,0
30879,FIRE,LAIKIPIA,11/10/2022,0,0,0
30878,FIRE,NAIROBI,11/10/2022,0,0,0
30876,ROAD ACCIDENT,NAIROBI,18/10/2022,0,0,0
30875,ROAD ACCIDENT,NAIROBI,18/10/2022,0,0,0
30874,ROAD ACCIDENT,NYAMIRA,18/10/2022,0,0,0
30873,ROAD ACCIDENT,NYAMIRA,18/10/2022,0,0,0
30872,DROWNING,TRANS-NZOIA,18/10/2022,0,0,0
30871,DROWNING,TRANS-NZOIA,18/10/2022,0,0,0
30870,ROAD ACCIDENT,KIAMBU,17/10/2022,0,0,0
30869,DROWNING,MIGORI,17/10/2022,0,0,0
30868,FIRE,TAITA-TAVETA,17/10/2022,0,0,0
30867,ROAD ACCIDENT,NAIROBI,17/10/2022,0,0,0
30866,ROAD ACCIDENT,NAIROBI,17/10/2022,0,0,0
30865,DROWNING,HOMABAY,17/10/2022,0,0,0
30864,ROAD ACCIDENT,SIAYA,17/10/2022,0,0,0
30863,FIRE,HOMABAY,10/10/2022,0,0,0
30862,FIRE,MERU,10/10/2022,0,0,0
30861,FIRE,KERICHO,10/10/2022,0,0,0
30860,FIRE,VIHIGA,10/10/2022,0,0,0
30859,FIRE,NYAMIRA,10/10/2022,0,0,0
30858,ROAD ACCIDENT,MACHAKOS,09/10/2022,0,0,0
30857,DROWNING,TRANS-NZOIA,21/10/2022,0,0,0
30856,DROWNING,KAKAMEGA,09/10/2022,0,0,0
30855,ROAD ACCIDENT,NAIROBI,09/10/2022,0,0,0
30854,ROAD ACCIDENT,NAIROBI,21/10/2022,0,0,0
30853,ROAD ACCIDENT,NAIROBI,09/10/2022,0,0,0
30852,DROWNING,MIGORI,09/10/2022,0,0,0
30851,DROWNING,MERU,09/10/2022,0,0,0
30850,ROAD ACCIDENT,KAJIADO,08/10/2022,0,0,0
30849,ROAD ACCIDENT,NAIROBI,08/10/2022,0,0,0
30848,ROAD ACCIDENT,UASIN-GISHU,08/10/2022,0,0,0
30847,ROAD ACCIDENT,NYERI,08/10/2022,0,0,0
30846,DROWNING,VIHIGA,08/10/2022,0,0,0
30845,ROAD ACCIDENT,NAKURU,06/10/2022,0,0,0
30844,ROAD ACCIDENT,MACHAKOS,06/10/2022,0,0,0
30843,ROAD ACCIDENT,MURANGA,06/10/2022,0,0,0
30842,ROAD ACCIDENT,MURANGA,06/10/2022,0,0,0
30841,DROWNING,NAIROBI,04/10/2022,0,0,0
30840,ROAD ACCIDENT,NAIROBI,06/10/2022,0,0,0
30839,ROAD ACCIDENT,NAIROBI,05/10/2022,0,0,0
30838,ROAD ACCIDENT,MOMBASA,05/10/2022,0,0,0
30837,FIRE,MACHAKOS,05/10/2022,0,0,0
30836,ROAD ACCIDENT,NAIROBI,05/10/2022,0,0,0
30835,ROAD ACCIDENT,NAIROBI,05/10/2022,0,0,0
30834,FIRE,KIAMBU,05/10/2022,0,0,0
30833,ROAD ACCIDENT,UASIN-GISHU,05/10/2022,0,0,0
30832,ROAD ACCIDENT,NAIROBI,05/10/2022,0,0,0
30831,ROAD ACCIDENT,NAIROBI,05/10/2022,0,0,0
30830,ROAD ACCIDENT,NAIROBI,05/10/2022,0,0,0
30829,ROAD ACCIDENT,ISIOLO,04/10/2022,0,0,0
30828,ROAD ACCIDENT,NAIROBI,04/10/2022,0,0,0
30827,ROAD ACCIDENT,NAIROBI,04/10/2022,0,0,0
30826,ROAD ACCIDENT,KERICHO,04/10/2022,0,0,0
30825,DROWNING,NAKURU,14/10/2022,0,0,0
30824,FIRE,MACHAKOS,14/10/2022,0,0,0
30823,FIRE,HOMABAY,13/10/2022,0,0,0
30821,DROWNING,KAKAMEGA,13/10/2022,0,0,0
30820,ELECTROCUTION,KAKAMEGA,13/10/2022,0,0,0
30808,ROAD ACCIDENT,MURANGA,26/09/2022,0,0,0
30807,FIRE,KAJIADO,26/09/2022,0,0,0
30806,ROAD ACCIDENT,BUSIA,26/09/2022,0,0,0
30805,FIRE,NAIROBI,26/09/2022,0,0,0
30804,ROAD ACCIDENT,KIAMBU,26/09/2022,0,0,0
30803,WINDSTORM,MERU,26/09/2022,0,0,0
30802,DROWNING,BARINGO,26/09/2022,0,0,0
30801,ROAD ACCIDENT,NAIROBI,26/09/2022,0,0,0
30800,DROWNING,UASIN-GISHU,23/09/2022,0,0,0
30798,FIRE,MERU,23/09/2022,0,0,0
30797,WINDSTORM,TAITA-TAVETA,23/09/2022,0,0,0
30796,DROWNING,NAKURU,21/09/2022,0,0,0
30795,ROAD ACCIDENT,KISII,21/09/2022,0,0,0
30794,ROAD ACCIDENT,NYERI,21/09/2022,0,0,0
30793,ROAD ACCIDENT,NAIROBI,21/09/2022,0,0,0
30792,ROAD ACCIDENT,NAIROBI,21/09/2022,0,0,0
30791,DROWNING,NAIROBI,20/09/2022,0,0,0
30790,ROAD ACCIDENT,MERU,21/09/2022,0,0,0
30789,ROAD ACCIDENT,BARINGO,21/09/2022,0,0,0
30786,ROAD ACCIDENT,NYAMIRA,22/09/2022,0,0,0
30785,ROAD ACCIDENT,BOMET,22/09/2022,0,0,0
30784,ROAD ACCIDENT,KAKAMEGA,21/09/2022,0,0,0
30782,DROWNING,TRANS-NZOIA,20/09/2022,0,0,0
30781,DROWNING,LAIKIPIA,20/09/2022,0,0,0
30780,ROAD ACCIDENT,MURANGA,20/09/2022,0,0,0
30779,FIRE,SIAYA,20/09/2022,0,0,0
30778,FIRE,KIAMBU,20/09/2022,0,0,0
30777,ROAD ACCIDENT,NAIROBI,21/09/2022,0,0,0
30776,ROAD ACCIDENT,NAIROBI,20/09/2022,0,0,0
30774,FIRE,KERICHO,19/09/2022,0,0,0
30773,ROAD ACCIDENT,KEIYO-MARAKWET,14/09/2022,0,0,0
30772,ROAD ACCIDENT,HOMABAY,14/09/2022,0,0,0
30770,ROAD ACCIDENT,KIRINYAGA,14/09/2022,0,0,0
30768,ROAD ACCIDENT,MERU,14/09/2022,0,0,0
30766,WINDSTORM,KISII,15/09/2022,0,0,0
30765,FIRE,KIAMBU,15/09/2022,0,0,0
30763,FIRE,MURANGA,15/09/2022,0,0,0
30762,ROAD ACCIDENT,NAIROBI,15/09/2022,0,0,0
30760,FIRE,MIGORI,17/09/2022,0,0,0
30759,ROAD ACCIDENT,UASIN-GISHU,18/09/2022,0,0,0
30757,FIRE,NAIROBI,17/09/2022,0,0,0
30755,FIRE,WAJIR,17/09/2022,0,0,0
30752,FIRE,KISUMU,17/09/2022,0,0,0
30751,ROAD ACCIDENT,KIRINYAGA,17/09/2022,0,0,0
30750,FIRE,NYERI,17/09/2022,0,0,0
30749,FIRE,NYERI,17/09/2022,0,0,0
30748,FIRE,VIHIGA,16/09/2022,0,0,0
30747,ELECTROCUTION,KAJIADO,12/09/2022,0,0,0
30746,ELECTROCUTION,VIHIGA,12/09/2022,0,0,0
30745,FIRE,KWALE,12/09/2022,0,0,0
30744,ELECTROCUTION,NAKURU,13/09/2022,0,0,0
30743,FIRE,KERICHO,13/09/2022,0,0,0
30742,DROWNING,KITUI,13/09/2022,0,0,0
30739,ROAD ACCIDENT,MURANGA,13/09/2022,0,0,0
30738,ROAD ACCIDENT,NAIROBI,13/09/2022,0,0,0
30737,ROAD ACCIDENT,NAIROBI,13/09/2022,0,0,0
30735,ROAD ACCIDENT,NAIROBI,13/09/2022,0,0,0
30734,ROAD ACCIDENT,MOMBASA,26/09/2022,0,0,0
30732,ROAD ACCIDENT,NAKURU,12/09/2022,0,0,0
30729,DROWNING,KAKAMEGA,13/09/2022,0,0,0
30727,ROAD ACCIDENT,ISIOLO,16/09/2022,0,0,0
30726,FIRE,KWALE,16/09/2022,0,0,0
30725,ROAD ACCIDENT,MACHAKOS,16/09/2022,0,0,0
30724,ROAD ACCIDENT,MACHAKOS,15/09/2022,0,0,0
30723,ROAD ACCIDENT,HOMABAY,15/09/2022,0,0,0
30721,ROAD ACCIDENT,UASIN-GISHU,15/09/2022,0,0,0
30719,ROAD ACCIDENT,MANDERA,15/09/2022,0,0,0
30718,ROAD ACCIDENT,MIGORI,10/09/2022,0,0,0
30717,ROAD ACCIDENT,KAJIADO,10/09/2022,0,0,0
30716,FIRE,KISUMU,10/09/2022,0,0,0
30715,FIRE,NANDI,10/09/2022,0,0,0
30714,FIRE,EMBU,10/09/2022,0,0,0
